SPPLEO - Single Point Positioning for LEO satellites
____________________________________________________



Setup data
__________


Input file CMP_05_091_2F_SPPLEO.inp

Loading GPS observation data ...
  loaded /home/ae4872/Resources/Champ/CMP_05_091.rnx
  marker CHAMP
Select GPS observation data ...
  from   2005/04/01  00:00:00.000
  to     2005/04/01  23:59:30.000
  step   all
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:21:00.000
  total  8400 observations

Processing options:
  Single/dual frequ.       : L1/L2
  Position/velocity        : position only

Spacecraft parameters:
  SP3 s/c ID               : L06
  Antenna offset (XYZ) [m] :   -1.4880   0.0000  -0.3928

Edit limits:
  SNR                      : 0.0
  Elevation [deg]          : 0.0
  Sig(pseudorange) [m]     : 2.000
  Sig(range-rate) [m/s]    : 0.100
  PDOP                     : 6.0
  Min.number of obs.       : 4
  Min.number of obs.       : 4

Data weights:
  Sig(pseudorange) [m]     : 1.500

Loading GPS orbit and clock data ...
  loaded /home/ae4872/Resources/IGS/codx13165.sp3
  first  2005/04/01  00:00:00.000
  last   2005/04/01  23:59:30.000

Loading antenna offsets and patterns ...
  loaded /home/ae4872/Models/CMP_pod_est.atx
  loaded /home/ae4872/Models/igs05_1467_gnss.atx
Earth rotation parameters:
  UT1-UTC [s]              :  -0.573
  UTC-TAI [s]              : -32.000
  GPS-UTC [s]              :  13.000
  x_pole ["]               :  -0.029
  y_pole ["]               :   0.243


Single Point Positioning

  Date        GPS time          x[m]        y[m]        z[m]         cdt[m]   sigr[m] rmsPR[m]  nObs *
2005/04/01  00:07:30.000     5660724.4   1665816.7  -3266261.5       -41.1      3.07    0.28    8(8) +
2005/04/01  00:07:40.000     5695980.0   1676071.8  -3198878.4       -42.4      3.07    0.64    8(8) +
2005/04/01  00:07:50.000     5730514.2   1686058.5  -3131078.5       -71.7      3.07    0.81    8(8) +
2005/04/01  00:08:00.000     5764321.1   1695779.0  -3062871.3       -87.9      3.07    0.65    8(8) +
2005/04/01  00:08:10.000     5797395.4   1705231.0  -2994264.5       -82.1      3.07    0.48    8(8) +
2005/04/01  00:08:20.000     5829736.2   1714412.9  -2925268.5       -97.3      3.08    0.58    8(8) +
2005/04/01  00:08:30.000     5861330.7   1723327.6  -2855889.6      -124.8      3.08    0.45    8(8) +
2005/04/01  00:08:40.000     5892181.4   1731974.5  -2786138.7      -120.9      3.08    0.71    8(8) +
2005/04/01  00:08:50.000     5922280.8   1740350.9  -2716024.5      -124.9      3.08    0.47    8(8) +
2005/04/01  00:09:00.000     5951626.3   1748459.6  -2645557.1      -152.2      3.08    0.43    8(8) +
2005/04/01  00:09:10.000     5980213.3   1756299.4  -2574744.2      -159.9      3.08    0.76    8(8) +
2005/04/01  00:09:20.000     6008037.0   1763871.0  -2503595.9      -153.0      3.08    0.61    8(8) +
2005/04/01  00:09:30.000     6035092.3   1771174.2  -2432120.8      -176.9      3.09    0.47    8(8) +
2005/04/01  00:09:40.000     6061378.2   1778208.2  -2360328.6      -199.0      3.09    0.50    8(8) +
2005/04/01  00:09:50.000     6086887.6   1784974.4  -2288228.2      -194.3      3.09    1.03    8(8) +
2005/04/01  00:10:00.000     6111618.3   1791473.7  -2215829.1      -206.7      3.09    1.00    8(8) +
2005/04/01  00:10:10.000     6135566.8   1797704.2  -2143141.6      -236.8      3.09    0.40    8(8) +
2005/04/01  00:10:20.000     6158730.8   1803669.3  -2070174.4      -239.1      3.10    0.67    8(8) +
2005/04/01  00:10:30.000     6181103.9   1809365.6  -1996937.0      -233.7      3.10    0.96    8(8) +
2005/04/01  00:10:40.000     6202682.1   1814795.0  -1923439.4      -196.8      3.10    0.36    8(8) +
2005/04/01  00:10:50.000     6223467.0   1819960.6  -1849689.9      -171.7      3.10    0.55    8(8) +
2005/04/01  00:11:00.000     6243451.1   1824858.3  -1775699.8      -169.4      3.10    0.31    8(8) +
2005/04/01  00:11:10.000     6262635.3   1829492.1  -1701477.6      -142.6      3.11    0.61    8(8) +
2005/04/01  00:11:20.000     6281014.4   1833860.9  -1627034.2      -105.8      3.11    0.57    8(8) +
2005/04/01  00:11:30.000     6298580.9   1837966.0  -1552376.6      -104.0      3.11    0.42    8(8) +
2005/04/01  00:11:40.000     6315340.2   1841807.5  -1477517.2       -94.6      3.11    0.81    8(8) +
2005/04/01  00:11:50.000     6331285.6   1845386.8  -1402464.6       -60.9      3.11    1.07    8(8) +
2005/04/01  00:12:00.000     6346412.9   1848702.6  -1327229.4       -49.4      3.12    0.75    8(8) +
2005/04/01  00:12:10.000     6360724.3   1851760.1  -1251820.7       -49.1      3.12    0.49    8(8) +
2005/04/01  00:12:20.000     6374212.4   1854554.5  -1176248.1       -21.0      3.12    0.36    8(8) +
2005/04/01  00:12:30.000     6386879.7   1857089.5  -1100522.9        12.8      3.12    0.47    8(9) +
2005/04/01  00:12:40.000     6398720.4   1859367.0  -1024652.1        47.1      2.33    0.58    9(9) +
2005/04/01  00:12:50.000     6409736.6   1861385.2   -948650.0        68.4      2.32    0.45    9(9) +
2005/04/01  00:13:00.000     6419921.2   1863148.3   -872522.6        73.8      2.32    0.75    9(9) +
2005/04/01  00:13:10.000     6429280.5   1864654.3   -796281.7        58.4      2.32    0.47    9(9) +
2005/04/01  00:13:20.000     6437800.8   1865905.6   -719934.1        35.7      2.32    0.41    9(9) +
2005/04/01  00:13:30.000     6445490.7   1866902.1   -643495.9        50.6      2.31    0.60    9(9) +
2005/04/01  00:13:40.000     6452343.3   1867648.1   -566971.0        51.9      6.79    0.73    7(7) +
PR  postfit stddev threshold exceeded (2.17m);  discarding PRN G06 (resid  -4.99m; SNR 10,20)
2005/04/01  00:13:50.000     6458362.5   1868138.6   -490373.5        34.8      7.33    0.57    6(7) +
2005/04/01  00:14:00.000     6463545.4   1868379.8   -413713.5        41.2      3.06    0.70    8(8) +
2005/04/01  00:14:10.000     6467890.5   1868372.9   -336999.4        56.3      2.33    1.14    9(9) +
2005/04/01  00:14:20.000     6471388.5   1868118.3   -260236.3        34.0      2.33    0.68    9(9) +
2005/04/01  00:14:30.000     6474052.6   1867616.2   -183442.9        23.9      2.24    0.72    9(9) +
2005/04/01  00:14:40.000     6475872.0   1866868.6   -106624.6        37.6      2.24    0.31    9(9) +
2005/04/01  00:14:50.000     6476850.7   1865874.2    -29793.0        31.7      2.48    0.25    8(8) +
2005/04/01  00:15:00.000     6476987.6   1864638.3     47042.7        13.7      2.66    0.20    7(7) +
2005/04/01  00:15:10.000     6476278.7   1863160.2    123873.3        24.3      2.65    0.45    7(7) +
2005/04/01  00:15:20.000     6474732.2   1861443.3    200685.0        46.2      2.99    0.22    7(7) +
2005/04/01  00:15:30.000     6472337.6   1859486.5    277472.6        87.9      2.98    0.45    7(7) +
2005/04/01  00:15:40.000     6469100.1   1857292.8    354223.9       112.5      2.50    0.44    8(8) +
2005/04/01  00:15:50.000     6465021.4   1854863.5    430928.2       117.9      2.50    0.45    8(8) +
2005/04/01  00:16:00.000     6460097.9   1852199.4    507576.6        96.5      2.50    0.57    8(9) +
2005/04/01  00:16:10.000     6454330.8   1849301.8    584158.2        68.3      2.49    0.88    8(9) +
PR  postfit stddev threshold exceeded (25.35m);  discarding PRN G30 (resid  83.27m; SNR 3,8)
2005/04/01  00:16:20.000     6447721.6   1846173.6    660664.2        67.1      2.49    0.36    8(9) +
PR  postfit stddev threshold exceeded (26.23m);  discarding PRN G30 (resid  86.14m; SNR 2,9)
2005/04/01  00:16:30.000     6440272.3   1842816.5    737082.3        76.7      2.49    0.32    8(9) +
2005/04/01  00:16:40.000     6431979.5   1839231.0    813404.9       104.0      2.49    0.43    8(9) +
PR  postfit stddev threshold exceeded (19.29m);  discarding PRN G30 (resid  63.31m; SNR 3,8)
2005/04/01  00:16:50.000     6422846.1   1835419.7    889621.0       104.6      2.49    0.44    8(9) +
2005/04/01  00:17:00.000     6412873.2   1831383.1    965721.3        92.1      2.49    0.69    8(9) +
2005/04/01  00:17:10.000     6402061.1   1827123.6   1041695.0       109.0      2.48    0.66    8(9) +
2005/04/01  00:17:20.000     6390411.4   1822645.2   1117531.9       117.9      2.48    0.60    8(9) +
PR  postfit stddev threshold exceeded (18.07m);  discarding PRN G30 (resid  59.27m; SNR 3,8)
2005/04/01  00:17:30.000     6377923.6   1817945.2   1193222.9        97.2      2.48    0.35    8(9) +
PR  postfit stddev threshold exceeded (15.89m);  discarding PRN G30 (resid  52.10m; SNR 2,7)
2005/04/01  00:17:40.000     6364600.3   1813029.7   1268757.3        97.9      2.48    0.43    8(9) +
2005/04/01  00:17:50.000     6350445.6   1807896.6   1344126.6       116.6      2.48    0.43    8(9) +
2005/04/01  00:18:00.000     6335455.0   1802551.7   1419319.8       102.6      2.48    0.26    8(9) +
2005/04/01  00:18:10.000     6319634.4   1796995.1   1494326.4        91.9      2.48    1.01    8(9) +
PR  postfit stddev threshold exceeded (24.27m);  discarding PRN G30 (resid  79.54m; SNR 4,9)
2005/04/01  00:18:20.000     6302986.0   1791227.0   1569139.2       113.6      2.48    0.70    8(9) +
2005/04/01  00:18:30.000     6285507.1   1785252.9   1643745.2       118.7      2.48    0.81    8(8) +
2005/04/01  00:18:40.000     6267205.8   1779072.0   1718137.5       108.8      2.30    0.63    9(9) +
2005/04/01  00:18:50.000     6248079.4   1772686.9   1792302.5       124.0      2.30    0.77    9(9) +
2005/04/01  00:19:00.000     6228134.1   1766102.0   1866237.4       149.6      1.99    1.35   10(10) +
2005/04/01  00:19:10.000     6207367.9   1759314.6   1939924.4       142.3      1.99    1.40   10(10) +
2005/04/01  00:19:20.000     6185783.4   1752331.9   2013358.0       124.2      1.99    0.93   10(10) +
PR  postfit stddev threshold exceeded (2.08m);  discarding PRN G10 (resid  -5.14m; SNR 12,23)
2005/04/01  00:19:30.000     6163389.4   1745153.0   2086530.0        91.4      2.06    1.00    9(10) +
PR  postfit stddev threshold exceeded (2.10m);  discarding PRN G10 (resid  -5.95m; SNR 11,23)
2005/04/01  00:19:40.000     6140180.2   1737779.2   2159428.0        82.0      2.06    0.64    9(10) +
PR  postfit stddev threshold exceeded (2.45m);  discarding PRN G10 (resid  -6.80m; SNR 10,21)
2005/04/01  00:19:50.000     6116164.4   1730215.5   2232044.2        87.1      2.06    0.84    9(10) +
2005/04/01  00:20:00.000     6091341.9   1722461.7   2304368.4        63.8      1.99    0.79   10(10) +
2005/04/01  00:20:10.000     6065715.6   1714519.4   2376387.7        48.7      2.00    1.42   10(10) +
2005/04/01  00:20:20.000     6039290.8   1706395.9   2448099.8        64.1      2.07    0.76    9(9) +
2005/04/01  00:20:30.000     6012069.6   1698087.5   2519490.9        62.7      2.07    1.20    9(9) +
2005/04/01  00:20:40.000     5984054.6   1689600.1   2590552.5        49.1      2.07    1.04    9(9) +
2005/04/01  00:20:50.000     5955250.0   1680933.2   2661275.1        65.2      2.07    0.48    9(9) +
2005/04/01  00:21:00.000     5925657.5   1672089.9   2731648.9        79.3      2.07    1.14    9(9) +
2005/04/01  00:21:10.000     5895283.5   1663076.2   2801667.0        68.2      2.08    0.56    9(9) +
2005/04/01  00:21:20.000     5864126.8   1653888.9   2871314.1        67.0      2.24    0.88    8(8) +
2005/04/01  00:21:30.000     5832198.8   1644532.1   2940589.5        81.5      2.25    0.28    8(8) +
2005/04/01  00:21:40.000     5799497.2   1635011.0   3009477.0        70.0      2.25    1.13    8(8) +
2005/04/01  00:21:50.000     5766032.6   1625324.5   3077978.2        59.0      2.25    0.63    8(8) +
2005/04/01  00:22:00.000     5731798.0   1615476.0   3146068.2        70.4      2.25    0.70    8(8) +
2005/04/01  00:22:10.000     5696808.0   1605468.0   3213750.6        72.3      2.26    0.37    8(8) +
PR  postfit stddev threshold exceeded (2.35m);  discarding PRN G30 (resid   7.83m; SNR 10,20)
2005/04/01  00:22:20.000     5661060.4   1595302.5   3281008.6        49.3      3.19    0.33    6(8) +
2005/04/01  00:22:30.000     5624565.2   1584983.3   3347843.0        51.6      2.44    0.26    7(8) +
2005/04/01  00:22:40.000     5587323.7   1574513.4   3414236.6        59.0      2.26    0.97    8(8) +
2005/04/01  00:22:50.000     5549341.6   1563892.2   3480186.0        37.2      2.27    0.86    8(8) +
2005/04/01  00:23:00.000     5510619.3   1553122.2   3545674.7        13.9      2.27    0.52    8(8) +
